Datum;Binnengekomen bij Provider;Doorgeleid naar keuzemenu;Door beller opgehangen in menu;Automatisch behandeld in menu;Thema;Gekozen voor thema incl. doorverbindingen;In de wachtrij;Door beller opgehangen in de wachtrij;Geholpen door medewerker;Gemiddelde wachttijd (s);;
14/02/2019;;;;;PARTICULIEREN;12134,00;11648,00;684,00;10964,00;128;;
14/02/2019;;;;;TOESLAGEN;7501,00;7496,00;357,00;7139,00;125;;
14/02/2019;;;;;ONDERNEMINGEN;6217,00;6192,00;114,00;6078,00;56;;
14/02/2019;;;;;INTERMEDIAIRS;3503,00;3499,00;53,00;3446,00;40;;
14/02/2019;;;;;OVERIG;3313,00;3255,00;413,00;2842,00;426;;
14/02/2019;;;;;AUTO;2938,00;2934,00;46,00;2888,00;22;;
14/02/2019;;;;;BUITENLAND;2309,00;2309,00;143,00;2166,00;88;;
14/02/2019;;;;;DOUANE;267,00;267,00;20,00;247,00;54;;
15/02/2019;34921,00;34898,00;4991,00;1739,00;TOTAAL;37815,00;37607,00;1875,00;35732,00;125;;
15/02/2019;;;;;PARTICULIEREN;12860,00;12860,00;832,00;12028,00;159;;
15/02/2019;;;;;TOESLAGEN;7210,00;7210,00;185,00;7025,00;62;;
15/02/2019;;;;;ONDERNEMINGEN;5483,00;5417,00;143,00;5274,00;82;;
15/02/2019;;;;;AUTO;3687,00;3687,00;60,00;3627,00;37;;
15/02/2019;;;;;INTERMEDIAIRS;3111,00;3104,00;58,00;3046,00;50;;
15/02/2019;;;;;OVERIG;3010,00;2907,00;284,00;2623,00;374;;
15/02/2019;;;;;BUITENLAND;2195,00;2163,00;303,00;1860,00;219;;
15/02/2019;;;;;DOUANE;259,00;259,00;10,00;249,00;51;;
18/02/2019;51730,00;51707,00;8210,00;2929,00;TOTAAL;52092,00;51176,00;4304,00;46872,00;198;;
18/02/2019;;;;;PARTICULIEREN;17186,00;16649,00;1503,00;15146,00;221;;
18/02/2019;;;;;TOESLAGEN;10858,00;10789,00;1146,00;9643,00;258;;
18/02/2019;;;;;ONDERNEMINGEN;7789,00;7633,00;212,00;7421,00;78;;
18/02/2019;;;;;AUTO;4704,00;4703,00;81,00;4622,00;48;;
